soc_pct,v_mv
0,3478
5,3530
10,3572
15,3626
20,3674
25,3724
30,3756
35,3778
40,3798
45,3812
50,3836
55,3858
60,3892
65,3922
70,3956
75,3970
80,3988
85,3992
90,4010
95,4046
100,4100
